ekatte,t_v_m,name,oblast,obstina,kmetstvo,kind,category,altitude,document,tsb,abc
14876,с.,Гиген,PVN,PVN08,PVN08-02,3,5,1,1901,NW,997
14893,с.,Гигинци,PER,PER08,PER08-07,3,7,7,1901,SW,998
14903,с.,Гинци,SFO,SFO09,SFO09-02,3,6,8,1901,SW,999
14917,с.,Гирчевци,KNL,KNL29,KNL29-06,3,7,5,1901,SW,1000
14920,с.,Гита,SZR,SZR36,SZR36-02,3,6,3,1901,SE,1001
14934,с.,Глава,PVN,PVN37,PVN37-02,3,5,2,1901,NW,1002
14948,с.,Главан,SLS,SLS31,SLS31-00,3,8,3,1901,N,1003
14951,с.,Главан,SZR,SZR07,SZR07-03,3,6,5,1901,SE,1004
14965,с.,Главановци,MON,MON14,MON14-00,3,8,5,1901,NW,1005
14979,с.,Главановци,PER,PER51,PER51-00,3,7,7,1901,SW,1006
14982,с.,Главанци,DOB,DOB27,DOB27-07,3,7,4,1901,NE,1007
14996,с.,Главатар,PDV,PDV12,PDV12-02,3,7,3,1901,S,1008
15000,с.,Главатарци,KRZ,KRZ16,KRZ16-10,3,8,5,1901,S,1009
15014,с.,Главаци,VRC,VRC21,VRC21-04,3,7,4,1901,NW,1010
15028,с.,Главиница,PAZ,PAZ19,PAZ19-06,3,4,4,1901,S,1011
15031,гр.,Главиница,SLS,SLS07,SLS07-00,1,4,3,1901,N,1012
18544,с.,Главник,KRZ,KRZ02,KRZ02-10,3,8,6,1901,S,1013
15045,с.,Глашатай,TGV,TGV02,TGV02-00,3,8,6,1901,NE,1014
15059,с.,Гледаци,GAB,GAB05,GAB05-23,3,8,5,1901,N,1015
15062,с.,Гледачево,SZR,SZR27,SZR27-00,3,8,3,1901,SE,1016
15093,с.,Гледка,HKV,HKV30,HKV30-14,3,6,4,1901,S,1017
15103,с.,Глогинка,TGV,TGV24,TGV24-07,3,7,4,1901,NE,1018
15117,с.,Глогино,SML,SML02,SML02-00,3,8,8,1901,S,1019
15120,с.,Глоговец,VTR,VTR13,VTR13-09,3,8,6,1901,N,1020
15134,с.,Глоговица,PER,PER51,PER51-00,3,8,7,1901,SW,1021
15148,с.,Глогово,LOV,LOV33,LOV33-05,3,5,6,1901,NW,1022
15151,гр.,Глоджево,RSE,RSE05,RSE05-02,1,4,4,1901,N,1023
15165,с.,Гложене,LOV,LOV33,LOV33-06,3,5,5,1901,NW,1024
18505,с.,Гложене,VRC,VRC20,VRC20-02,3,4,2,1901,NW,1025
15179,с.,Глумово,HKV,HKV11,HKV11-16,3,8,6,1901,S,1026
15182,с.,Глумче,BGS,BGS09,BGS09-00,3,8,3,1901,SE,1027
15196,с.,Глутниците,GAB,GAB35,GAB35-00,3,8,6,1901,N,1028
15206,с.,Глуфишево,SLV,SLV20,SLV20-10,3,6,3,1901,SE,1029
15216,с.,Глухар,KRZ,KRZ16,KRZ16-07,3,5,4,1901,S,1030
15223,с.,Глушка,GAB,GAB12,GAB12-00,3,8,6,1901,N,1031
15237,с.,Глушник,SLV,SLV20,SLV20-11,3,6,4,1901,SE,1032
15240,с.,Гнездаре,HKV,HKV11,HKV11-04,3,8,5,1901,S,1033
15268,с.,Гняздово,KRZ,KRZ16,KRZ16-59,3,8,4,1901,S,1034
15271,с.,Говедаре,PAZ,PAZ19,PAZ19-07,3,5,4,1901,S,1035
15285,с.,Говедарци,SFO,SFO39,SFO39-04,3,5,8,1901,SW,1036
15299,с.,Говежда,MON,MON14,MON14-04,3,7,5,1901,NW,1037
15309,гр.,Годеч,SFO,SFO09,SFO09-00,1,3,7,1901,SW,1038
15312,с.,Годешево,BLG,BLG42,BLG42-04,3,6,7,1901,SW,1039
15326,с.,Годлево,BLG,BLG37,BLG37-03,3,6,7,1901,SW,1040
15331,с.,Гоз,PER,PER08,PER08-00,3,8,7,1901,SW,1041
15343,с.,Гоздевица,SML,SML31,SML31-01,3,8,8,1901,S,1042
15357,с.,Гоздейка,GAB,GAB12,GAB12-00,3,8,5,1901,N,1043
15374,с.,Голак,SFO,SFO25,SFO25-00,3,8,7,1901,SW,1044
15549,с.,Голем Цалим,BLG,BLG40,BLG40-00,3,8,7,1901,SW,1045
15432,с.,Голема Раковица,SFO,SFO17,SFO17-03,3,6,6,1901,SW,1046
15446,с.,Голема Фуча,KNL,KNL04,KNL04-00,3,7,7,1901,SW,1047
15391,с.,Големани,VTR,VTR13,VTR13-00,3,8,5,1901,N,1048
15401,с.,Големаните,VTR,VTR04,VTR04-00,3,8,5,1901,N,1049
15415,с.,Големаново,VID,VID22,VID22-01,3,7,5,1901,NW,1050
15429,с.,Големанци,HKV,HKV34,HKV34-06,3,6,4,1901,S,1051
15463,с.,Големи Българени,GAB,GAB12,GAB12-00,3,8,6,1901,N,1052
15480,с.,Големи Станчовци,GAB,GAB35,GAB35-00,3,8,6,1901,N,1053
